GN	Protein Accession #	sig126	sig127N	sig127C	sig128N	sig128C	sig129N	sig129C	sig130N	sig130C	sig131
Disp2	sp|Q8CIP5|DISP2_MOUSE	265637.493847848	292177.183676376	252749.891415765	307211.703941824	314530.584141889	307143.173603886	314911.456982849	434855.958322778	384983.838142905	431818.058292914
Mrvi1	sp|Q9WUX5|MRVI1_MOUSE	29928.6929782813	33390.1009568489	44608.779828362	33591.1056373712	26583.9226779852	29019.4874902493	37898.4301521889	32138.9002572869	37242.7507053592	34252.1035142729
Klf3	sp|Q60980|KLF3_MOUSE	44300.3560883906	50583.9384257533	51212.730407781	43643.7629395405	100750.12481765	118003.942637073	78159.3602768363	39203.1252538943	38862.5874701571	40646.408624965
Car12	tr|Q8K2J1|Q8K2J1_MOUSE	11513.2210808582	13313.571081049	10061.7941312248	9961.52662371607	10336.1395912609	10643.6780668783	10655.4046194903	9942.95323816452	11890.8856392531	11517.5021128682
Zfp334	tr|A2A4U6|A2A4U6_MOUSE	60054.4161726489	67084.7463897377	65634.4228852217	64313.0807507792	71965.7457369281	90302.2102507901	60240.327139398	40623.5162529427	41567.5747016913	46036.6686144303
Trib2	sp|Q8K4K3|TRIB2_MOUSE	48810.2510773832	45275.2782430916	45122.4308862286	62014.5021692931	69887.0793636125	71639.6234590546	49083.6388085535	41029.0103115673	43848.9160482502	39642.4875385608
Rhbdd2	sp|Q8VEK2|RHBD2_MOUSE	62124.6541475015	62620.152466879	61500.434447936	51335.1190807984	64207.3492280047	55333.5707067975	56159.504207356	50418.2137607516	56841.6548334937	56083.7177073263
Wnt7b	sp|P28047|WNT7B_MOUSE	10989.590203613	10359.8040062336	11972.3956227378	10405.3531228152	26708.4015537885	29516.3003133616	14497.1242532703	11699.6329183752	10798.5013505187	13200.8499217315
P2yr13	sp|Q9D8I2|P2Y13_MOUSE	88236.224945996	78114.859896391	104466.299740569	81474.6039550313	88879.8416009187	78132.1131952634	77219.2706303589	60151.1081915513	59679.8358000964	58358.3132333516
Gvin1	sp|Q80SU7|GVIN1_MOUSE	136059.623517576	119926.068272499	312947.660608281	127228.716799572	163679.08168842	160327.242219906	267370.600654684	111356.63463771	111387.67378381	117377.519995202
Pyhin1	sp|Q8BV49|IFIX_MOUSE	69724.5476570473	60935.7312742504	81529.9542726224	64908.9147803745	115195.922032864	94462.8455993146	120342.729648239	46023.5457504026	41890.0376699624	46357.1852650896
Rgmb	sp|Q7TQ33|RGMB_MOUSE	69388.4438432411	68424.9793205718	64408.4966659804	71560.7091724675	50492.2840356864	51545.4062581811	51694.4170417827	64522.3597649973	63183.935029615	63165.2208264749
Zbtb10	tr|E9Q8X5|E9Q8X5_MOUSE	109152.871306233	117192.305406723	122123.962130162	118950.968873061	132387.931581136	148135.896131079	109826.269067934	92923.0680013703	95869.1730024491	98810.5196559347
Slfn8	tr|B1ARD8|B1ARD8_MOUSE	79938.9286144146	74966.7175522865	88521.795141837	86063.5187153232	120647.847612583	113054.293131159	151308.735593409	54553.9125932268	61386.9272798313	54861.6681674461
Filip1l	sp|Q6P6L0|FIL1L_MOUSE	118343.827521756	128199.233583049	127804.849389642	132997.03996812	158777.055105711	173815.619996646	166879.174576991	117289.172257146	117284.413678408	109820.486212911
Hs6st3	sp|Q9QYK4|H6ST3_MOUSE	27554.6770495268	31256.6183201642	27947.2485762773	32967.9196918487	28777.6877645037	25391.4388987668	30868.4936531305	72594.5010166564	64106.1577214407	68445.9557094057
Chst7	sp|Q9EP78|CHST7_MOUSE	100625.591379723	97577.5838150789	102480.728231998	85766.4575961121	251827.524747773	250938.173154103	199589.257084376	105063.905313833	112597.686332617	106377.875350037
Col1a1	sp|P11087|CO1A1_MOUSE	148232.713003671	129161.168571942	124391.585807062	114403.007136873	135263.205162125	208743.584919572	133701.395736142	243174.271153483	240783.158901503	231522.778328295
Plbd1	sp|Q8VCI0|PLBL1_MOUSE	35758.7185644957	35624.4639426791	37517.0629119458	38259.0753962846	61390.5127333879	44235.9624373788	44570.8622313734	32306.5117522175	32140.529103884	30094.8982825399
Cep192	tr|E9Q4Y4|E9Q4Y4_MOUSE	137785.842568785	136544.255853029	142890.911859669	133975.712620405	181226.049124289	179693.520871322	144797.116798176	97466.5673674343	102771.996104049	105018.252335889
Evc	sp|P57680|EVC_MOUSE	113244.143217166	118885.673660966	118697.581308461	116183.721065566	167428.959722057	168682.140745721	137118.070019476	87005.1963224092	88256.1729010654	88132.1747880757
Plekhh2	sp|Q8C115|PKHH2_MOUSE	135413.670527683	142208.39870986	142405.721100286	119727.978631771	126530.282867805	127079.719999169	108408.424263735	88412.088021208	87639.3252024403	92628.3667915438
Sec14l5	tr|B2RXM5|B2RXM5_MOUSE	136272.033684869	123122.409704035	129497.862111535	112228.506764391	90332.3166792317	80766.9261015418	92793.3329735994	89978.1928613174	97633.7223438773	94462.6062834255
Ticam1	sp|Q80UF7|TCAM1_MOUSE	67214.3021051572	56075.9029590156	53812.8139853056	55936.4086462204	53959.6421411963	56825.9600799172	54789.5750539625	36402.6463952023	39540.1480184546	40951.0652059853
Arhgef33	sp|Q8BW86|ARG33_MOUSE	268344.185548839	218215.090968901	69895.476471637	70533.7351788777	79536.2372134047	73737.6473509575	73243.8488797345	79551.4207637217	72519.5392156003	75653.6882138264
Ptpn14	sp|Q62130|PTN14_MOUSE	80155.8862021587	85661.2724025116	79672.0468135389	81356.6679824664	72808.2261289706	80241.3633622041	70873.5297932004	50912.1823793214	48948.258594715	56554.2185477074
Kif20b	sp|Q80WE4|KI20B_MOUSE	85515.1680836805	80645.5119447708	91255.2291206336	81914.866142029	123277.942360423	115495.878705291	84840.3302437497	56905.863213579	58592.3663743942	56638.3711511203
Il10rb	sp|Q61190|I10R2_MOUSE	15936.2702114555	18299.2001520308	17388.8732637932	18044.1275880193	20605.8368767061	23386.1016998396	18784.3023209351	15941.9602056458	14169.5640383986	16750.9415279225
Zfp362	tr|B1ASA5|B1ASA5_MOUSE	79019.9881032827	77075.5873084374	83300.2853606939	73134.8373136262	87835.7896805523	93925.6809369839	82006.4765518274	67153.226102019	56476.2084677237	59862.050547151
Arhgap20	sp|Q6IFT4|RHG20_MOUSE	73341.3130120521	79434.7505908433	64295.994130846	68011.1275595781	63361.1823114138	60140.5788702312	66460.2186974457	115041.521414166	112823.617485574	100380.180232701
Slc25a45	sp|Q8CFJ7|S2545_MOUSE	24343.9418355656	22662.7065513602	25644.8820654241	27524.8735525377	27067.0294726668	21628.6378839589	27860.2788852876	23243.7195117228	37479.5427679789	23603.7104355983
Zbtb12	tr|Q9Z150|Q9Z150_MOUSE	18020.227393841	16060.7075568807	15174.9208722103	18035.6055271779	16448.8848507597	20556.4815217328	16883.9865719796	18075.2212608716	17664.578956886	16601.2491808585
Fbxo27	sp|Q6DIA9|FBX27_MOUSE	17407.6221016102	17486.5100689359	19312.7738407402	14318.9497757052	12283.9544936206	11447.4054770738	13521.7302830352	21802.6895786601	24670.3214404025	18727.869867081
Rft1	sp|Q8C3B8|RFT1_MOUSE	117456.626051486	112787.688755564	118414.186979269	102333.590548292	98081.1799775575	97431.1874223193	105139.50117601	81095.7911426485	85930.1787200508	81133.5603792801
Tor4a	sp|Q8BH02|TOR4A_MOUSE	27003.068592587	26387.2465781195	23992.1337370325	24914.952275922	29859.222244731	27764.1974651332	29128.9235710301	18386.9538416835	15853.9798738193	18106.1945929668
Acvrl1	sp|Q61288|ACVL1_MOUSE	29992.62384933	33204.6035786156	29847.509310291	23127.9086904446	37152.6627508545	32905.60909902	27834.4622719191	29052.7370916985	28270.746257148	27085.3926267236
Bhlhe23	sp|Q8BGW3|BHE23_MOUSE	46656.3838843036	32937.4637420227	33502.5845720544	48156.2502213863	33970.7972928623	29956.7505112663	37398.5098541907	44079.5564029023	32018.3919718227	35666.9245006828
Ropn1l	sp|Q9EQ00-2|ROP1L_MOUSE	172952.546393371	216152.29694939	189018.459892126	196376.408330295	186372.85074545	182935.408524388	161893.548190294	151121.781308711	158478.951797979	129723.217529798
Rhod	sp|P97348|RHOD_MOUSE	35434.6296649288	34400.9462121974	33128.988247519	31720.9116539165	41779.5815098996	35494.6961083196	37532.4893266116	30341.8431640549	30786.3003226634	30879.9227689909
Klhl23	sp|Q6GQU2|KLH23_MOUSE	33298.4642396596	33407.5677807754	32410.5057910592	34500.988406866	48312.9374057226	46143.6083790975	39845.6820093793	36519.7032234197	34879.4452505023	36612.1482278982
Tmub2	sp|Q3V209|TMUB2_MOUSE	59004.2974671206	63528.1859783871	60674.8741298348	56821.3265312728	60583.307410725	63505.0632221047	60408.885123415	54579.445550996	56461.0207504359	55091.4546189008
Lurap1l	sp|Q8K2P1|LUR1L_MOUSE	82563.8458348763	79381.5851497996	78624.9228409038	77071.129012854	72741.4770934849	67155.1390076844	82254.9027510386	81644.4453267835	89901.7433934534	87343.5186003118
Barx2	sp|O08686|BARX2_MOUSE	228308.57125423	226897.86211886	204201.676270623	177852.326124939	138773.701858127	145302.210965342	136359.5711744	126862.469939215	126030.838209452	136813.442730034
Arhgap29	sp|Q8CGF1|RHG29_MOUSE	82409.3861782349	80438.465200483	82627.2964702976	80749.8621528334	117228.945758969	107454.173388102	96766.3477111746	77978.031096669	73221.3911284306	74700.7088613733
Sfmbt1	sp|Q9JMD1|SMBT1_MOUSE	73851.4034460011	70292.5070775074	74677.0183132272	73716.992093198	79986.9744704323	81378.7401484885	75974.1597719088	65974.5486937178	64881.4865210196	65036.2484054929
Znf354c	sp|Q571J5|Z354C_MOUSE	29983.0539286585	33558.8033647307	38286.7826735526	42353.9504758931	36607.912089829	50618.0346680616	33181.845099585	24098.1167262629	24248.5644759574	23475.4029148558
Xkr7	sp|Q5GH64|XKR7_MOUSE	89431.3921749798	83190.1189559493	77043.7241640687	75503.119294295	68778.2481391133	66663.4977693125	69759.8807421463	105939.668095612	105113.571290877	103971.353390119
Senp5	sp|Q6NXL6|SENP5_MOUSE	67225.6559856309	62687.6769443557	68748.9356086314	63767.7430773917	59143.7039288236	63184.7992998405	63829.4066018408	52344.9677698594	50322.7220001567	56905.7379774011
Hmces	sp|Q8R1M0|HMCES_MOUSE	71726.5167117415	78754.9357154021	73649.2046547473	80056.2481518119	84957.2189336346	92588.6289222654	77239.6924534957	79149.9926539364	82617.4083657867	90684.019166804
Rxra	sp|P28700|RXRA_MOUSE	40865.9363990904	40172.2371119953	42003.2732732224	36341.0109037868	45233.6509608647	38254.3270986783	45115.6852746955	37526.2382077953	39456.3392695947	38388.7395843644
Cebpg	sp|P53568|CEBPG_MOUSE	12238.1061568785	13035.158807799	13602.8980303597	8901.30656565778	14874.4172121984	14219.8531228221	11947.4020749227	11657.656320734	11732.9639084216	13669.3181702524
Tgfb2	sp|P27090|TGFB2_MOUSE	144452.248783451	162485.569933596	151277.575406508	140143.944952496	312003.826381209	272531.665786982	167692.746621505	95431.4078577504	115100.123715108	121617.798868351
Trim30d	tr|E9PWL0|E9PWL0_MOUSE	31554.6752471206	26038.6265359441	79338.8957719727	33419.8802256189	31810.7840541872	32083.3055735056	73758.2220659627	22041.9333685395	21902.2918668713	20551.2440465856
Atp8b2	sp|P98199|AT8B2_MOUSE	89084.0921694621	91019.429929752	90960.1222993019	88035.4381257447	84326.5072030691	86476.0238924408	89407.2962126852	94943.55386719	98592.3007288753	96026.0345572739
Rnf150	sp|Q5DTZ6|RN150_MOUSE	73811.85393379	76435.3167079628	71612.4220226907	65070.4852317844	65133.8015459397	55837.2847894263	69103.9479138599	93091.6108636468	96381.9946821468	96157.0989562318
Neb	tr|E9Q1W3|E9Q1W3_MOUSE	131659.486818567	115752.069222582	109589.695775665	114579.584203352	127982.042621629	114028.444758556	130456.978866753	162920.777047193	167282.846205087	155284.68640403
Pdcd2l	sp|Q8C5N5|PDD2L_MOUSE	35524.9053004803	38646.1898114449	34426.3417489572	31504.4423564685	37929.7205705055	41356.0948357512	34232.091062205	30750.6146169554	30529.0942436112	32290.3353037834
Procr	sp|Q64695|EPCR_MOUSE	17398.0692941617	19385.4666300499	22150.8185373945	16804.7816653488	29641.2105775689	25562.0240908635	23130.8640748342	12498.5153054211	13699.3692687751	12300.2720443073
Ccdc18	sp|Q640L5|CCD18_MOUSE	12588.8575174929	11986.7066387595	11640.4308563768	13250.546857253	12673.0314333835	13299.2577405189	13937.0775195096	10537.9308596929	9891.51023581302	8978.35139162868
Creb5	sp|Q8K1L0|CREB5_MOUSE	96602.7471885529	100175.147357434	97007.9945208285	78286.1823454961	145696.131264941	150419.305788087	90636.1423399141	54499.8734968062	56839.8406562728	56321.5775194864
NA	sp|Q3UY34|CL043_MOUSE	275160.57864815	285793.45306131	250882.101573189	287061.043527545	291631.310109656	285856.934923118	258701.371608142	307122.705902011	282131.895963904	310767.759754814
Pbld2	sp|Q9CXN7|PBLD2_MOUSE	41459.4193603199	38450.5450237124	37412.5504164431	41338.3865681423	43357.6056719219	42354.0476878235	38950.3623391141	48531.7153409095	43324.6162245067	44492.9774811446
Trpc3	sp|Q9QZC1|TRPC3_MOUSE	34588.1148460429	36243.9447426719	32809.7852850003	33988.094422163	23408.738824464	28341.7427010344	29012.0933161122	45787.5400011971	48560.290253597	40153.3986464992
Megf8	sp|P60882|MEGF8_MOUSE	81497.0437228358	88179.2968130436	78789.2116447495	83065.2218371321	85847.9726836991	84184.9498071658	83830.9545209256	92025.7217679568	92855.9136398805	92225.3571726443
Insrr	sp|Q9WTL4|INSRR_MOUSE	159678.996956947	157911.908368124	155166.760279224	158892.251434894	176809.888115923	167025.462194571	165106.226561948	166700.122824496	162477.559178192	163400.084614397
Colec12	sp|Q8K4Q8|COL12_MOUSE	102873.164950245	98536.4444537777	96583.8288676132	107357.967203088	112181.273084651	110508.082182754	120731.942380783	125915.801349662	114000.935705581	115742.949393232
Ctcfl	sp|A2APF3|CTCFL_MOUSE	90430.5086799178	143130.196294946	81782.3655328487	65317.0923673913	119439.935515715	130631.303972123	67770.1777856192	44347.5349695422	58890.6139120733	84492.4132253075
Usp42	sp|B2RQC2|UBP42_MOUSE	43506.8293191145	43615.2559591217	45607.0165106445	41425.7488797751	53903.9936830383	50843.2244873803	46741.1048295091	36992.1525562603	39808.1863911006	40885.6688689292
Fbxw5	sp|Q9QXW2|FBXW5_MOUSE	54689.1607259038	53159.2945859672	59034.3534204907	61167.7151494217	53916.941633905	56475.943158598	54034.9551685751	62935.1185749832	58597.8603185771	59428.107601702
Pigw	sp|Q8C398|PIGW_MOUSE	163162.240841904	170056.520036343	190728.761465109	163333.728280116	151643.212533541	158663.680333248	134899.762830916	136766.753699348	134321.137103718	133390.454863862
Srebf1	sp|Q9WTN3|SRBP1_MOUSE	103284.882877017	99587.8628297726	106721.787500591	97255.9550836634	116050.249553977	119224.570879294	122901.375893854	84756.2077484454	92792.0810265522	86884.7632571448
Srebf1	tr|F6XZS9|F6XZS9_MOUSE	103333.388224346	98463.0326104645	106502.22164626	98119.3118144929	116629.909366731	118973.754162582	122275.279170366	84715.8756083573	92915.8270927778	91994.1978700944
Unc5d	sp|Q8K1S2|UNC5D_MOUSE	63682.6931420412	83686.5313021548	65696.8568936793	73428.7785549343	70253.4723275471	72851.87704587	68264.0079038218	105778.70196391	100163.068570206	109516.257429721
Sergef	sp|Q80YD6|SRGEF_MOUSE	51715.7669876332	62877.7736936903	58006.164375676	61068.0716611777	51378.4082774266	51145.3484635562	58370.5809595641	67930.3535124624	69893.8158916538	69460.0714301329
Fgl2	sp|P12804|FGL2_MOUSE	70147.0221656879	67608.3586578495	72772.9155947403	80473.0431845325	43052.8170105794	38530.4926093189	47186.9212614688	25662.2577606151	30172.1665975398	30590.1409745421
Fam149b1	sp|Q6NSV7|F149B_MOUSE	81640.0255924306	82746.023542998	69848.0086589634	72607.5152805474	82956.2640802434	81570.9104243813	82220.9083835624	86572.9553916178	84431.4335720814	81094.4322837611
Krt27	sp|Q9Z320|K1C27_MOUSE	483628.638071366	585650.87293308	273005.581440789	414133.097458993	416022.256219571	295527.495631807	596297.131891213	360285.486060146	480028.737200891	498060.026966544
Slc2a6	tr|Q3UDF0|Q3UDF0_MOUSE	28477.3864927056	27696.0327334973	27120.6878806006	22674.02423202	31491.7061451439	30884.2259923594	31200.1483495839	21903.8556930659	24120.0654997106	23483.0559326547
Rps6kl1	sp|Q8R2S1|RPKL1_MOUSE	30494.436280273	31790.2347128195	30362.6380798441	28989.6470585872	30491.5670692768	39315.6849724868	31170.3037072699	26487.0151197453	27063.4664086868	27131.8990251965
Usp43	sp|Q8BUM9|UBP43_MOUSE	75861.5903629028	76525.2773154731	78429.7510927307	99046.7093649512	75818.8661636213	74721.0104351081	80098.1728671149	175350.304440592	164663.742626747	166031.725577391
Jak3	sp|Q62137|JAK3_MOUSE	41773.1489118673	43046.2144836667	48676.8953268791	44660.4894451377	48111.7710901283	44425.4885418903	46205.4581793003	41328.4097162545	39837.7541595615	40514.1469422516
Prr5	sp|Q812A5|PRR5_MOUSE	38410.8426085085	39152.3626035955	38809.5784212904	41438.4647763677	46380.3187422915	45093.7191762905	38236.6602547935	34271.1075359555	36539.0102905566	35756.6110429728
Ube3d	sp|Q8BX13|UBE3D_MOUSE	50679.853292575	46313.0255597088	52074.6466497309	46681.8589408599	50920.1727114739	44930.0519716307	46032.9273168304	33184.2822923631	36063.7990636293	36484.7971764369
Scd1	sp|P13516|ACOD1_MOUSE	33949.4940190568	33551.276794644	34903.0143031056	29158.0816598906	37769.8351997788	40435.2849363697	36462.2112775423	17679.2576597154	22874.969614647	18044.8283848003
Slc35f6	sp|Q8VE96|S35F6_MOUSE	110314.001334504	109535.444880584	115787.146877924	92965.556669485	134602.320629277	121065.074132656	102807.199583255	79845.6233089751	88189.0785483486	88344.8796329457
Zdhhc18	sp|Q5Y5T2|ZDH18_MOUSE	59800.8015805075	58011.9108435358	56527.0035792461	53282.6661803916	64977.3203735677	58466.875475117	54250.470007092	47898.9425983812	49270.7657298213	49537.4308063954
Dnajc18	sp|Q9CZJ9|DJC18_MOUSE	119550.076528773	129031.289324848	125011.249596622	121044.320194383	120290.989995643	154488.442972531	147265.986559306	106055.042509161	119485.296836376	114374.733740349
Extl1	sp|Q9JKV7|EXTL1_MOUSE	92448.3251180305	87370.7886481241	81327.572422086	84121.3890313355	99336.1101017608	82322.6076127434	93130.2871808122	113207.176229543	113613.171364197	113180.862761639
Rem1	sp|O35929|REM1_MOUSE	91262.235335207	83914.2185000665	88257.0645020824	91859.7236530104	93438.2740500859	93111.4740260598	83569.5525654004	102103.083849293	87388.9877349457	81143.8835491717
1700084C01Rik	tr|H3BLK0|H3BLK0_MOUSE	22580.2367322841	18858.5836430432	19067.5984629987	15525.7717067154	14310.4390255922	14296.6950059847	19825.4933076135	9218.25011646706	9477.28826723386	8780.98695803006
Nudt22	sp|Q9DD16|NUD22_MOUSE	57673.1640412719	52568.3381733771	59173.8170692478	50952.3645477571	59767.1761037408	53002.5535087341	54542.920123889	47925.9343970143	55387.1753881151	45059.942607873
Ralgds	sp|Q03385|GNDS_MOUSE	63595.1151605106	61978.3374181561	60357.197825062	54125.0062670377	51376.8300976	48195.9823679301	54197.1872878509	46754.3352469776	49111.7929864479	44784.5959527234
Ralgds	tr|Q3TWC1|Q3TWC1_MOUSE	64482.9965081791	63319.5038947953	61813.4332570792	55712.5726900307	50821.3905950741	47584.0979134962	53641.690881795	45225.0465028984	48449.1063595751	44461.847483242
Aktip	sp|Q64362|AKTIP_MOUSE	308018.49281314	322154.050831701	317519.136882317	349726.431539015	348835.016366318	360415.659118489	308895.509992039	315880.209532985	311070.11395658	296351.053926947
Zc3hav1l	sp|Q8BFR1|ZCCHL_MOUSE	69803.6590172715	68759.7029875084	72641.0261377355	72209.6035176438	74992.6912259271	74058.407142465	59696.0136812786	50474.2864748323	52371.4870793799	56779.0299828954
Tox3	sp|Q80W03|TOX3_MOUSE	189367.702233232	189917.919595713	185402.412633696	182542.266669296	240749.834004599	238513.461527042	226591.28554603	151753.131256937	157202.746205977	155470.718824915
Gpr153	sp|Q8K0Z9|GP153_MOUSE	42341.1819716026	43736.0951602056	40409.4701726183	42201.2208790595	37794.0574037105	37806.449983888	40659.2610336117	50504.2144818758	51429.5094565143	49141.40246891
Enpp3	sp|Q6DYE8|ENPP3_MOUSE	57010.2094596848	58198.055300516	66591.7672531476	60447.7622210268	139138.288678881	123995.569477324	84167.9206484023	38612.0357089492	40968.2818513626	44393.1665858895
Pm20d2	sp|A3KG59|P20D2_MOUSE	24708.1383227818	21780.6762244549	22205.5721453135	25094.9157554398	26777.410897225	25079.2196683869	28177.0262913898	24670.2017820831	25611.067449713	23493.2276031845
Fbxw7	sp|Q8VBV4|FBXW7_MOUSE	105242.452026252	107100.07962659	113353.504746207	116861.665388722	115133.413927403	147014.309082376	119644.630578378	162945.613774359	144588.961552265	162511.785998187
BC052040	tr|E9PWV4|E9PWV4_MOUSE	71659.3508389928	72260.1197943029	71980.7237598781	64211.1951476024	91611.2767203831	98587.5525492641	78960.16196793	50564.1083712718	55184.1694361769	52130.2898324584
NA	sp|Q3U4G0-2|CO041_MOUSE	104338.368161149	106727.343545258	104790.350760457	97193.691012876	135623.005649287	150787.594502264	118267.985686111	73149.9228595279	74313.3043425652	71986.0282656092
Depdc7	sp|Q91WS7|DEPD7_MOUSE	90755.1653831109	85213.2314820639	83854.985970637	82909.5554689849	90275.7480143607	86998.2992566836	82874.7477121062	54607.4368492678	51896.8506504024	56938.8835005916
Mfsd8	sp|Q8BH31|MFSD8_MOUSE	73558.400145837	64822.8200491183	72494.2322257731	69827.9008480652	84291.7297748276	88734.3180200187	77734.0732128527	63580.3081406987	66333.8811406249	64018.2675280982
Dpy19l4	sp|A2AJQ3|D19L4_MOUSE	217824.181803388	229122.346137995	212644.355465571	192584.694063251	232267.780946312	224865.687781805	198578.730261939	149218.910985004	148917.259260309	148762.522279966
Dot1l	tr|Q6XZL8|Q6XZL8_MOUSE	55877.793211297	56537.777784011	58408.6737784546	54295.3075374475	60534.7548930056	65466.7107852513	45814.6844202323	35431.6669305037	34929.4513207576	35015.6301379444
Myt1l	sp|P97500|MYT1L_MOUSE	34362.3414385346	36890.555356887	29070.9768242289	36758.2215533514	32629.6546854172	32116.8942029864	33662.3558005598	54789.3690649749	55395.6170732272	55659.9460255215
Nin	sp|Q61043|NIN_MOUSE	125620.282129039	139101.113275625	134044.542042757	121862.787916453	129635.350069557	126671.516610855	109021.752936388	79475.5011571731	83162.1297859512	87414.415379995
Nin	tr|E9Q4S3|E9Q4S3_MOUSE	126765.868660985	139553.025725619	134975.187057824	122233.34540148	131030.245052274	127531.446142501	109558.205543366	78316.8255157826	82381.1552064584	85637.936736168
Lnx2	sp|Q91XL2|LNX2_MOUSE	33035.6131102688	30144.741639743	35775.7983484328	32167.3557746044	44088.2895667839	38551.4482422954	39349.804873271	28765.3869972256	31588.5755226083	29045.2978105338
Ptpn18	sp|Q61152|PTN18_MOUSE	24033.8931410885	25040.3625304464	27309.5270899576	22378.7215691274	33632.8444770107	31149.0709268856	28185.5057315089	15604.2551406771	14878.9169669762	13592.1505660337
Fbln1	sp|Q08879|FBLN1_MOUSE	13177.1566230989	18059.3199559045	18766.5841930962	15831.8398398583	16317.9378338463	11419.1638372458	12607.5316677899	12326.1453656246	13769.7050128664	12901.4350895995
Fbln1	sp|Q08879-2|FBLN1_MOUSE	29625.3566915738	32251.1551255618	42813.6006439786	35358.2641445979	26536.7293576131	25038.4052953478	29963.0439866921	35049.4988963985	42985.1256401177	35013.7285454654
Gas6	sp|Q61592|GAS6_MOUSE	117283.353946294	127430.723068533	115810.013821251	112595.072999475	110172.530239272	116150.876165946	118121.7828234	120240.270247769	121250.290092194	125626.524785814
Thap1	sp|Q8CHW1|THAP1_MOUSE	8378.73023957039	11717.0488249621	12057.7867868792	10012.9589428813	11767.7970332844	12355.1410268154	10770.0219489758	12567.0450256573	9338.59633257127	10039.4543857729
Tmem98	sp|Q91X86|TMM98_MOUSE	98018.8099599295	102651.789236436	120699.462604569	83394.2177255072	63496.6570264996	67957.2851329355	63516.3389112926	52038.298244381	56459.4819099407	51671.9973260378
Fam181b	sp|Q80VF6|F181B_MOUSE	109754.750369034	88282.8739272484	105701.406926199	72423.9117587031	187097.207877511	133561.999001892	102003.673506388	31121.488123106	26533.8969780466	35960.8012148092
Usp27	sp|Q8CEG8|UBP27_MOUSE	35180.8685916795	41352.1855577508	44269.777754052	41779.0514474287	40266.2936534573	44823.9264359714	35082.7374341975	43535.5955199883	41849.2181393247	45296.449516487
Myo7a	sp|P97479|MYO7A_MOUSE	148825.857730508	297142.522199769	153551.908107984	153498.415549667	133842.106367806	127542.879167898	139839.436078928	139170.797102316	151731.433737249	159503.212205987
Kat6a	sp|Q8BZ21|KAT6A_MOUSE	81379.6815258184	82442.3409551274	83192.7080216611	84342.139260931	100417.634805968	111317.200695503	83253.0538469459	53507.5123974756	55181.8905609321	54163.9641845902
Topors	sp|Q80Z37|TOPRS_MOUSE	48829.56448341	52889.4260412333	49582.4200610562	56286.0555012942	55977.1122428592	56412.5585759417	50763.4320306244	42186.1055159279	44155.1766067622	44593.5680603228
Mbtps1	sp|Q9WTZ2|MBTP1_MOUSE	93417.348158099	97191.0977235086	90782.1719040928	87453.9037194631	109394.025156374	104310.559558499	86159.6551987248	58373.9721255139	62374.0036045169	57024.1060432246
Zfp292	sp|Q9Z2U2|ZN292_MOUSE	183129.963988347	184759.305239193	180662.051356948	179105.429978133	191322.451494954	225274.193914865	162862.651158227	150802.714395211	153695.235382787	148251.280780868
Kif18b	sp|Q6PFD6|KI18B_MOUSE	64991.3893543873	60109.4470629152	69547.1891555349	70263.5802648307	84302.2305281465	77662.8049541849	61298.1545629255	39518.8440066464	31278.04879321	35349.1277475393
Susd5	tr|G3UW60|G3UW60_MOUSE	180866.52660548	317855.985075973	170105.302236567	203526.964858178	146200.784240523	166390.660257264	207946.637944368	269507.486991977	294085.348075089	313850.270286763
Mlxip	sp|Q2VPU4|MLXIP_MOUSE	46239.2191839052	45393.9160366182	52137.1314319189	42725.3046769379	47878.5999517926	53175.5205670392	43426.4061321622	31645.2549290247	34522.3610438153	31666.3104289743
Slc30a4	sp|O35149|ZNT4_MOUSE	56288.8974768309	52836.6928149489	56658.7960046038	62043.0207435316	45846.0400710081	54664.2927699799	43108.5231814654	55054.5949451009	51345.5262864515	49524.9493107753
Pard6g	sp|Q9JK84|PAR6G_MOUSE	165339.071411225	149403.957217735	169643.445681296	131707.359929263	152578.029519877	145764.609722537	142988.899603778	120153.683008003	145436.933905121	124766.658952414
Glra1	sp|Q64018|GLRA1_MOUSE	108200.275099774	75915.1971852059	19628.8202665657	29166.2933372867	17406.5077187393	29019.9324102929	39435.8785506026	16005.2051233892	16166.1777837738	20128.6422718917
Sppl3	sp|Q9CUS9|SPPL3_MOUSE	40970.4507661027	42116.2664472066	43972.8341796879	45385.1920727853	47906.038728649	52076.375504202	45185.5511745686	36658.2879051835	34542.2102090653	37263.1153824608
Adipor1	sp|Q91VH1|ADR1_MOUSE	174786.151170371	164756.743428754	177196.584436933	179097.006995022	273469.070433739	210560.606216376	262202.0814058	145698.242776912	155991.332633519	162276.273686825
Cyr61	sp|P18406|CYR61_MOUSE	23369.4703309722	21522.0245060782	20064.1271243266	18462.6710388515	23202.47459181	24130.0189502844	22207.5769778892	12851.0444611072	14045.6182298519	15302.6129902809
Selplg	sp|Q62170|SELPL_MOUSE	39883.0605910092	40146.9145711268	41936.2148026366	45343.1852169825	34039.3182147471	35627.9478629419	41430.5822614559	37935.4775863074	35585.226957265	31963.9303304038
Grin2d	sp|Q03391|NMDE4_MOUSE	91677.7750399304	103666.611507581	94766.5117416002	113300.118281707	59514.7094998146	74147.911619087	94290.8708323277	89941.3131380885	91256.6658552306	102821.146878695
